root           6       2  0 12:51 ?        00:00:00 [netns]
oracle      2636       1  0 12:53 ?        00:00:00 ora_pmon_CDB1
oracle      2638       1  0 12:53 ?        00:00:00 ora_clmn_CDB1
oracle      2640       1  0 12:53 ?        00:00:00 ora_psp0_CDB1
oracle      2644       1  0 12:53 ?        00:00:07 ora_vktm_CDB1
oracle      2654       1  0 12:53 ?        00:00:00 ora_gen0_CDB1
oracle      2656       1  0 12:53 ?        00:00:00 ora_mman_CDB1
oracle      2660       1  0 12:53 ?        00:00:00 ora_gen1_CDB1
oracle      2663       1  0 12:53 ?        00:00:00 ora_diag_CDB1
oracle      2665       1  0 12:53 ?        00:00:00 ora_ofsd_CDB1
oracle      2668       1  0 12:53 ?        00:00:00 ora_dbrm_CDB1
oracle      2670       1  0 12:53 ?        00:00:01 ora_vkrm_CDB1
oracle      2672       1  0 12:53 ?        00:00:00 ora_svcb_CDB1
oracle      2674       1  0 12:53 ?        00:00:00 ora_pman_CDB1
oracle      2676       1  0 12:53 ?        00:00:00 ora_dia0_CDB1
oracle      2678       1  0 12:53 ?        00:00:00 ora_dbw0_CDB1
oracle      2680       1  0 12:53 ?        00:00:00 ora_lgwr_CDB1
oracle      2682       1  0 12:53 ?        00:00:00 ora_ckpt_CDB1
oracle      2684       1  0 12:53 ?        00:00:00 ora_lg00_CDB1
oracle      2686       1  0 12:53 ?        00:00:00 ora_smon_CDB1
oracle      2688       1  0 12:53 ?        00:00:00 ora_lg01_CDB1
oracle      2690       1  0 12:53 ?        00:00:00 ora_smco_CDB1
oracle      2692       1  0 12:53 ?        00:00:00 ora_reco_CDB1
oracle      2694       1  0 12:53 ?        00:00:00 ora_w000_CDB1
oracle      2696       1  0 12:53 ?        00:00:00 ora_lreg_CDB1
oracle      2698       1  0 12:53 ?        00:00:00 ora_w001_CDB1
oracle      2700       1  0 12:53 ?        00:00:00 ora_pxmn_CDB1
oracle      2704       1  0 12:53 ?        00:00:05 ora_mmon_CDB1
oracle      2706       1  0 12:53 ?        00:00:00 ora_mmnl_CDB1
oracle      2708       1  0 12:53 ?        00:00:00 ora_d000_CDB1
oracle      2710       1  0 12:53 ?        00:00:00 ora_s000_CDB1
oracle      2712       1  0 12:53 ?        00:00:00 ora_tmon_CDB1
oracle      2717       1  0 12:53 ?        00:00:04 ora_m000_CDB1
oracle      2722       1  0 12:53 ?        00:00:00 ora_p000_CDB1
oracle      2724       1  0 12:53 ?        00:00:00 ora_p001_CDB1
oracle      2726       1  0 12:53 ?        00:00:00 ora_p002_CDB1
oracle      2728       1  0 12:53 ?        00:00:00 ora_p003_CDB1
oracle      2730       1  0 12:53 ?        00:00:00 ora_p004_CDB1
oracle      2732       1  0 12:53 ?        00:00:00 ora_p005_CDB1
oracle      2734       1  0 12:53 ?        00:00:00 ora_p006_CDB1
oracle      2736       1  0 12:54 ?        00:00:00 ora_tt00_CDB1
oracle      2738       1  0 12:54 ?        00:00:00 ora_tt01_CDB1
oracle      2740       1  0 12:54 ?        00:00:00 ora_tt02_CDB1
oracle      2742       1  0 12:54 ?        00:00:00 ora_w002_CDB1
oracle      2744       1  0 12:54 ?        00:00:00 ora_w003_CDB1
oracle      2746       1  0 12:54 ?        00:00:00 ora_aqpc_CDB1
oracle      2750       1  0 12:54 ?        00:00:00 ora_p007_CDB1
oracle      2752       1  0 12:54 ?        00:00:00 ora_w004_CDB1
oracle      2754       1  0 12:54 ?        00:00:00 ora_p008_CDB1
oracle      2756       1  0 12:54 ?        00:00:00 ora_p009_CDB1
oracle      2758       1  0 12:54 ?        00:00:00 ora_p00a_CDB1
oracle      2760       1  0 12:54 ?        00:00:00 ora_p00b_CDB1
oracle      2762       1  0 12:54 ?        00:00:00 ora_p00c_CDB1
oracle      2766       1  0 12:54 ?        00:00:00 ora_p00d_CDB1
oracle      2768       1  0 12:54 ?        00:00:00 ora_p00e_CDB1
oracle      2770       1  0 12:54 ?        00:00:00 ora_p00f_CDB1
oracle      2772       1  0 12:54 ?        00:00:02 ora_cjq0_CDB1
oracle      2830       1  0 12:54 ?        00:00:00 ora_qm02_CDB1
oracle      2856       1  0 12:54 ?        00:00:00 ora_q003_CDB1
oracle      2981       1  0 12:54 ?        00:00:00 ora_m001_CDB1
oracle      2983       1  0 12:54 ?        00:00:00 ora_m002_CDB1
oracle      3007       1  0 12:54 ?        00:00:00 ora_m003_CDB1
oracle      3009       1  0 12:54 ?        00:00:00 ora_w005_CDB1
oracle      3015       1  0 12:54 ?        00:00:00 ora_q007_CDB1
oracle      3209       1  0 13:04 ?        00:00:00 ora_w006_CDB1
oracle      3213       1  0 13:04 ?        00:00:00 ora_w007_CDB1
oracle      3225       1  0 13:04 ?        00:00:00 ora_w008_CDB1
oracle      3227       1  0 13:04 ?        00:00:00 ora_w009_CDB1
oracle      3229       1  0 13:04 ?        00:00:00 ora_w00a_CDB1
oracle      3231       1  0 13:04 ?        00:00:00 ora_w00b_CDB1
oracle      3233       1  0 13:04 ?        00:00:00 ora_w00c_CDB1
oracle      3235       1  0 13:04 ?        00:00:00 ora_w00d_CDB1
oracle      3237       1  0 13:04 ?        00:00:00 ora_w00e_CDB1
oracle      3239       1  0 13:04 ?        00:00:00 ora_w00f_CDB1
oracle      3249       1  0 13:05 ?        00:00:00 ora_m004_CDB1
oracle      3379    3298  0 13:10 pts/0    00:00:00 grep -E --color=auto ora_|pmon|tns|tnslsnr
